기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명_x,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,상권_코드_명_y,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적
20241,A,골목상권,3110429,공릉동 국수거리,CS100010,커피-음료,104182959,9924,71462399,32720560,14630302,12354385,16153551,13571051,14753110,20408808,12311752,0,7286236,41210602,25063688,28926318,1696115,34685438,62729579,619016,18763526,16264151,14546534,20406902,26814889,7453,2471,1548,1342,1634,1480,1449,1647,824,0,1458,3516,2621,2273,56,3439,5805,36,2115,1757,1868,1577,1892,공릉동 국수거리,206455,457940,11350,노원구,11350595,공릉1동,160554
20241,A,골목상권,3110433,공릉역 2번,CS100010,커피-음료,240995914,13559,155541240,85454674,26899705,20503935,40278672,34831523,33027405,58851849,26602825,43132448,10072785,37541955,41544707,64438227,44265792,135748125,103178770,1756642,51288143,48955987,27861500,61064963,47999660,9053,4506,1195,1866,2392,1513,2087,2691,1815,171,946,3519,3332,4126,1465,5656,7709,145,4777,2943,2645,1683,1173,공릉역 2번,206692,458322,11350,노원구,11350595,공릉1동,95309
20241,A,골목상권,3110434,태릉입구역 4번,CS100010,커피-음료,55930404,10139,31342129,24588275,6150715,4862536,6400917,7847941,6080020,13748030,10840245,84244,539557,12096391,14492213,25477624,3240375,23497282,32433122,731288,13548447,16275989,13036441,9755105,2583134,5989,4150,1250,1021,1310,1363,1045,2143,2007,15,79,2212,2923,4357,553,3652,6487,202,3123,2992,2211,1262,349,태릉입구역 4번,206724,457916,11350,노원구,11350595,공릉1동,38090
20241,A,골목상권,3110435,서울과학기술대,CS100010,커피-음료,201167745,37909,150836935,50330810,26132686,28618671,31569107,31894937,32621534,24534123,25796687,52490,19012627,82435553,48671970,44551008,6444097,86967198,95668364,5537006,74640798,35670401,27699223,32701956,6386180,28381,9528,5237,5886,5966,5887,5405,4511,5017,11,4647,14921,9169,7908,1253,18356,18300,1060,16453,6724,4806,6258,1352,서울과학기술대,206727,458887,11350,노원구,11350600,공릉2동,17818
20241,A,골목상권,3110438,경춘선숲길 우측,CS100010,커피-음료,155971072,23823,105502156,50468916,19164076,19766646,18408329,24279996,23883109,24308222,26160694,48829,11077909,52438880,42340356,45000293,5064805,62499214,84437256,2457206,29387384,40207533,38390572,25177661,11316112,16246,7577,2761,3209,3131,3472,3673,3897,3680,7,2017,7161,7067,6794,777,10450,12736,498,5064,7134,4691,3518,2283,경춘선숲길 우측,206924,458484,11350,노원구,11350600,공릉2동,100071
20241,A,골목상권,3110442,화랑대철도공원,CS100010,커피-음료,30186682,5341,20593918,9592764,3933396,4086904,4019195,4124446,4429977,5132761,4460003,0,6254408,12477225,7812163,3600201,42685,10196202,19990480,418290,6015322,5569210,6321400,10265771,1596689,3652,1689,704,768,706,775,699,899,790,0,903,2090,1579,762,7,1903,3438,123,1358,977,1197,1414,272,화랑대철도공원,207943,458309,11350,노원구,11350600,공릉2동,20050
20241,D,발달상권,3120084,공릉역,CS100010,커피-음료,900184665,95250,549370544,350814121,107767887,104748013,113872272,99882359,123100013,168405351,182408770,156159,19413105,235352134,309895559,282722317,52645391,325063265,575121400,6010268,344578721,264405161,134938364,99000163,51251988,60458,34792,11870,11551,11630,11812,13595,16519,18273,8,4140,24259,32620,29251,4972,36464,58786,1063,36127,27986,13294,11032,5748,공릉역,206501,458455,11350,노원구,11350595,공릉1동,81040
20241,D,발달상권,3120086,태릉입구역,CS100010,커피-음료,531136599,83920,349696825,181439774,58696768,67291555,72506197,72609023,78593282,97247042,84192732,162727,69711957,161418344,160458326,122150446,17234799,214276575,294315626,2338505,100561347,139197780,106574409,86978931,72941231,58380,25540,10461,11647,12152,11897,12223,13951,11589,18,15193,24853,23347,18162,2347,34972,46937,473,19210,22042,16396,13263,10525,태릉입구역,206799,457730,11350,노원구,11350595,공릉1동,72480
20241,R,전통시장,3130159,공릉동 도깨비시장,CS100010,커피-음료,10797941,915,7193386,3604555,518216,1461111,222526,1993364,2998169,2596231,1008324,0,132239,2311905,6221564,2132233,0,3031759,7617413,0,2051257,3546761,2711674,1541911,797568,500,415,67,87,32,137,177,241,174,0,16,279,437,183,0,327,572,0,185,168,161,237,149,공릉동 도깨비시장,206706,458084,11350,노원구,11350595,공릉1동,57720
20242,A,골목상권,3110429,공릉동 국수거리,CS100010,커피-음료,131379969,11963,87119167,44260802,17162474,20202333,16202238,16582506,16969616,25303263,18957539,0,12517154,51075012,32265363,33632370,1890070,39744974,74076285,800494,23312851,18266499,19896275,23530621,28014516,8747,3216,1708,1920,1621,1647,1851,1994,1222,0,1949,4127,3377,2463,47,4078,6341,105,2501,1997,2323,1838,1657,공릉동 국수거리,206455,457940,11350,노원구,11350595,공릉1동,160554
20242,A,골목상권,3110433,공릉역 2번,CS100010,커피-음료,249817580,16580,181470341,68347239,37310133,43525802,31120482,33258064,36255860,41161533,27185706,19102415,8123851,42827076,39105277,75786895,64872066,130502351,99428907,2171029,60081985,37411215,23635137,29671109,76960782,11631,4949,1703,2500,2475,2280,2673,2646,2303,245,902,4053,3849,5267,2264,6903,9582,220,6547,3605,1994,2635,1485,공릉역 2번,206692,458322,11350,노원구,11350595,공릉1동,95309
20242,A,골목상권,3110434,태릉입구역 4번,CS100010,커피-음료,57000000,10791,35122116,21877884,6816845,7420628,7005223,6879883,6999537,10579725,11298159,0,634962,11835817,16625594,23056398,4847229,24739108,32260892,846637,13636499,14091748,14635801,8556974,5232341,6814,3977,1191,1295,1414,1322,1592,1894,2083,0,97,2269,3067,4587,771,4140,6651,249,3146,2788,2578,1439,591,태릉입구역 4번,206724,457916,11350,노원구,11350595,공릉1동,38090
20242,A,골목상권,3110435,서울과학기술대,CS100010,커피-음료,298754175,62356,222100925,76653250,38991485,42463591,50060263,44853814,45731772,38277860,38375390,69067,27020965,110573301,75825174,71661434,13604234,132430594,144370204,11243434,109451200,52648368,41796323,51468112,10193362,46676,15680,8706,9518,10231,9360,8861,7703,7977,28,7264,22073,14887,15286,2818,30443,30170,2656,27185,9861,7791,11014,2106,서울과학기술대,206727,458887,11350,노원구,11350600,공릉2동,17818
20242,A,골목상권,3110438,경춘선숲길 우측,CS100010,커피-음료,186215330,27619,117569891,68645439,19933737,23897677,24502198,24963114,24273165,31792186,36853253,0,15546263,56822426,48857944,54929939,10058758,65355519,104802395,1705147,33427201,48626455,44514052,28598637,13286422,17973,9646,3112,3554,3893,3817,3597,4523,5123,0,2666,7874,8037,7690,1352,11288,15732,286,5211,7989,6297,4484,2753,경춘선숲길 우측,206924,458484,11350,노원구,11350600,공릉2동,100071
20242,A,골목상권,3110442,화랑대철도공원,CS100010,커피-음료,48924466,10050,35628422,13296044,6747296,7538222,8613688,7289731,5439485,5575877,7720167,0,7088497,19105300,14798700,7892568,39401,18810015,30114451,588338,10859847,8457128,14578662,12300017,2140474,7529,2521,1469,1666,1617,1535,1242,1136,1385,0,1196,3996,3071,1780,7,3914,6136,206,2680,1734,2831,2199,400,화랑대철도공원,207943,458309,11350,노원구,11350600,공릉2동,20050
20242,D,발달상권,3120084,공릉역,CS100010,커피-음료,1296245510,143848,814500304,481745206,155394839,165888272,155729846,150717813,186769534,224937973,256807233,15911061,25025618,317421145,390016270,426288672,121582744,455493588,813512397,14898897,520480306,355807481,179338181,154613250,43867870,95588,48260,17764,19676,18580,17896,21672,23447,24813,2162,5394,35342,42912,45086,12952,53978,89245,2185,57505,39058,19468,19161,5845,공릉역,206501,458455,11350,노원구,11350595,공릉1동,81040
20242,D,발달상권,3120086,태릉입구역,CS100010,커피-음료,650839725,103120,442933652,207906073,76011115,86163826,82003034,105069932,93685745,109600542,98305531,0,89764924,199064773,208043662,136413861,17552505,250010747,356456170,4194743,118969959,155094454,103643363,130426356,94138044,71464,31656,12835,14315,14486,14191,15637,16832,14824,0,19621,30219,28461,21917,2902,43700,57757,817,23413,27001,17853,19288,13087,태릉입구역,206799,457730,11350,노원구,11350595,공릉1동,72480
20242,R,전통시장,3130159,공릉동 도깨비시장,CS100010,커피-음료,16075318,1990,8388831,7686487,1052802,2354940,1366730,1014111,2600248,4319393,3367094,0,82650,6468786,4504598,4938862,80422,4166442,11608270,0,1792377,5302946,4632246,2090188,1956956,1055,935,198,243,119,172,323,541,394,0,25,822,628,499,16,619,1363,0,238,533,482,395,334,공릉동 도깨비시장,206706,458084,11350,노원구,11350595,공릉1동,57720
20243,A,골목상권,3110429,공릉동 국수거리,CS100010,커피-음료,95325796,6969,57263586,38062210,11291062,11044827,10277470,9348257,15301970,19809573,18252637,0,5430413,38837083,24336383,25589082,1132835,32392264,52656877,697382,11995123,12100012,16219878,18582934,25453813,4846,2123,1069,949,829,898,1101,1237,886,0,863,2445,2089,1526,46,2405,3780,89,1363,1164,1273,995,1301,공릉동 국수거리,206455,457940,11350,노원구,11350595,공릉1동,160554
20243,A,골목상권,3110433,공릉역 2번,CS100010,커피-음료,166014262,12409,121445170,44569092,22054760,24814594,23895367,24792336,25888113,26382426,18186666,815768,8048231,43487873,34571532,54637477,24453381,87233659,71602860,1046538,43064686,26694675,13603787,33715879,40710952,8843,3566,1017,1834,2041,2016,1935,2054,1512,81,751,3221,3077,3710,1569,5247,6730,141,4239,2469,1248,2307,1569,공릉역 2번,206692,458322,11350,노원구,11350595,공릉1동,95309
20243,A,골목상권,3110434,태릉입구역 4번,CS100010,커피-음료,57000000,10612,34882814,22117186,5697052,6123690,9137324,6222222,7702526,11052659,11064527,0,280748,13686034,14622824,23080903,5329491,27926684,29073316,949219,11127263,15224069,12933928,8403987,8361534,6344,4268,1191,1072,1415,1241,1425,2254,2014,0,70,2456,2792,4545,749,4470,6142,277,2565,3009,2558,1351,852,태릉입구역 4번,206724,457916,11350,노원구,11350595,공릉1동,38090
