요일,시간대,예상_상태
월요일,~06,비활성화
월요일,~11,비활성화
월요일,~14,보통
월요일,~17,보통
월요일,~21,보통
월요일,~24,비활성화
화요일,~06,비활성화
화요일,~11,비활성화
화요일,~14,활성화
화요일,~17,활성화
화요일,~21,활성화
화요일,~24,비활성화
수요일,~06,비활성화
수요일,~11,비활성화
수요일,~14,활성화
수요일,~17,활성화
수요일,~21,활성화
수요일,~24,비활성화
목요일,~06,비활성화
목요일,~11,비활성화
목요일,~14,활성화
목요일,~17,활성화
목요일,~21,보통
목요일,~24,비활성화
금요일,~06,비활성화
금요일,~11,보통
금요일,~14,활성화
금요일,~17,활성화
금요일,~21,활성화
금요일,~24,비활성화
토요일,~06,비활성화
토요일,~11,보통
토요일,~14,활성화
토요일,~17,활성화
토요일,~21,활성화
토요일,~24,보통
일요일,~06,비활성화
일요일,~11,보통
일요일,~14,활성화
일요일,~17,활성화
일요일,~21,활성화
일요일,~24,비활성화
